timestamp_utc,ticker,currency,entry,stop,target,stop_pct,target_pct,rsi_prev,rsi_now,days_to_earnings
2026-08-11T21:28:17,HD,USD,354.0100,350.3887,361.2526,-1.02,2.05,28.0,50.0,
2026-08-17T20:58:12,LMT,USD,602.4585,595.2338,616.9080,-1.20,2.40,28.4,63.7,64
2026-08-25T08:11:07,AMD,USD,464.2000,459.7097,473.1806,-0.97,1.93,32.2,71.5,70
2026-08-25T08:59:58,COST,USD,968.4400,964.6582,976.0035,-0.39,0.78,34.6,50.7,30
2026-08-29T01:45:19,DE,USD,630.3300,622.9272,645.1356,-1.17,2.35,17.2,53.2,88
2026-09-03T10:39:04,MA,USD,589.0000,585.4494,596.1012,-0.60,1.21,30.2,53.4,56
2026-09-03T21:02:29,MCD,USD,259.7494,258.7473,261.7536,-0.39,0.77,34.9,52.7,63
2026-09-07T11:31:25,ARM,USD,252.1000,248.4199,259.4601,-1.46,2.92,23.5,52.8,58
2026-09-07T16:40:14,ARM,USD,252.1000,248.4199,259.4601,-1.46,2.92,23.5,52.8,58
2026-09-07T20:10:07,ARM,USD,252.1000,248.4199,259.4601,-1.46,2.92,23.5,52.8,58
